FIRST NAME,LAST NAME,SEX,DOJ,CURRENT DATE,DESIGNATION,AGE,UNIT,LEAVES USED,LEAVES REMAINING,RATINGS,PAST EXP,SALARY,DAY,DAY NAME,MONTH,YEAR
TOMASA,ARMEN,F,18-05-2014,07-01-2016,Analyst,21,Finance,24,6,2,0,44570,18,Sunday,5,2014
OLIVE,ANCY,F,28-07-2014,07-01-2016,Analyst,21,Finance,23,7,3,0,40955,28,Monday,7,2014
CHERRY,AQUILAR,F,03-04-2013,07-01-2016,Analyst,22,IT,22,8,3,0,45550,3,Wednesday,4,2013
LEON,ABOULAHOUD,M,20-11-2014,07-01-2016,Analyst,24,Operations,27,3,0,3,43161,20,Thursday,11,2014
VICTORIA,-,F,19-02-2013,07-01-2016,Analyst,22,Marketing,20,10,4,0,48736,19,Tuesday,2,2013
ELLIOT,AGULAR,M,02-09-2013,07-01-2016,Analyst,22,Marketing,19,11,5,0,40339,2,Monday,9,2013
JACQUES,AKMAL,M,05-12-2013,07-01-2016,Analyst,24,Marketing,29,1,2,2,40058,5,Thursday,12,2013
KATHY,ALSOP,F,29-06-2014,07-01-2016,Senior Analyst,28,Operations,20,10,3,1,63478,29,Sunday,6,2014
LILIAN,APELA,F,11-11-2014,07-01-2016,Analyst,22,Finance,15,15,3,0,43110,11,Tuesday,11,2014
BELLE,ARDS,F,10-03-2014,07-01-2016,Analyst,24,Marketing,22,8,4,1,41590,10,Monday,3,2014
VIRGIL,ACKIES,M,01-02-2010,07-01-2016,Senior Manager,36,Finance,19,11,2,9,160613,1,Monday,2,2010
WELDON,AIVAO,M,01-08-2013,07-01-2016,Analyst,24,Finance,15,15,5,1,44828,1,Thursday,8,2013
BOYD,AFTON,M,22-03-2013,07-01-2016,Analyst,21,Web,23,7,2,0,45830,22,Friday,3,2013
BART,AGUILLERA,M,27-07-2013,07-01-2016,Analyst,24,Management,30,0,4,1,43457,27,Saturday,7,2013
CORINNE,ANDRZEJCZYK,F,13-08-2014,07-01-2016,Analyst,21,IT,16,14,5,0,44812,13,Wednesday,8,2014
ALONZO,ADSIDE,M,16-09-2013,07-01-2016,Analyst,25,Finance,27,3,3,2,47636,16,Monday,9,2013
ROYCE,AGOSTO,M,07-06-2014,07-01-2016,Analyst,24,Web,27,3,5,1,48651,7,Saturday,6,2014
BURTON,AGUILER,M,03-02-2013,07-01-2016,Analyst,23,Management,21,9,3,0,40411,3,Sunday,2,2013
PHILLIP,ABDULA,M,03-07-2013,07-01-2016,Analyst,24,Web,18,12,5,0,44665,3,Wednesday,7,2013
ORVILLE,ADNEY,M,23-06-2013,07-01-2016,Analyst,25,Marketing,23,7,3,1,46941,23,Sunday,6,2013
KORY,ALEGRIA,M,11-10-2013,07-01-2016,Analyst,22,Marketing,28,2,5,0,47734,11,Friday,10,2013
